ID,XMIN,XMAX,YMIN,YMAX
52,-72.910387527299747,-72.909387527299742,36.726973686000001,36.727973685999999
53,-72.909387527299742,-72.908387527299737,36.726973686000001,36.727973685999999
136,-72.914387527299766,-72.913387527299761,36.725973686000003,36.726973686000001
137,-72.913387527299761,-72.912387527299757,36.725973686000003,36.726973686000001
140,-72.910387527299747,-72.909387527299742,36.725973686000003,36.726973686000001
141,-72.909387527299742,-72.908387527299737,36.725973686000003,36.726973686000001
142,-72.908387527299737,-72.907387527299733,36.725973686000003,36.726973686000001
143,-72.907387527299733,-72.906387527299728,36.725973686000003,36.726973686000001
144,-72.906387527299728,-72.905387527299723,36.725973686000003,36.726973686000001
225,-72.913387527299761,-72.912387527299757,36.724973686000006,36.725973686000003
226,-72.912387527299757,-72.911387527299752,36.724973686000006,36.725973686000003
228,-72.910387527299747,-72.909387527299742,36.724973686000006,36.725973686000003
229,-72.909387527299742,-72.908387527299737,36.724973686000006,36.725973686000003
230,-72.908387527299737,-72.907387527299733,36.724973686000006,36.725973686000003
231,-72.907387527299733,-72.906387527299728,36.724973686000006,36.725973686000003
232,-72.906387527299728,-72.905387527299723,36.724973686000006,36.725973686000003
294,-72.932387527299852,-72.931387527299847,36.723973686000008,36.724973686000006
295,-72.931387527299847,-72.930387527299843,36.723973686000008,36.724973686000006
296,-72.930387527299843,-72.929387527299838,36.723973686000008,36.724973686000006
297,-72.929387527299838,-72.928387527299833,36.723973686000008,36.724973686000006
311,-72.915387527299771,-72.914387527299766,36.723973686000008,36.724973686000006
312,-72.914387527299766,-72.913387527299761,36.723973686000008,36.724973686000006
313,-72.913387527299761,-72.912387527299757,36.723973686000008,36.724973686000006
314,-72.912387527299757,-72.911387527299752,36.723973686000008,36.724973686000006
315,-72.911387527299752,-72.910387527299747,36.723973686000008,36.724973686000006
316,-72.910387527299747,-72.909387527299742,36.723973686000008,36.724973686000006
317,-72.909387527299742,-72.908387527299737,36.723973686000008,36.724973686000006
318,-72.908387527299737,-72.907387527299733,36.723973686000008,36.724973686000006
383,-72.931387527299847,-72.930387527299843,36.722973686000010,36.723973686000008
384,-72.930387527299843,-72.929387527299838,36.722973686000010,36.723973686000008
